sample_name,protocol,organism,read_type,data_source,SRR,SRX,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_phone,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,gsm_id,Sample_supplementary_file_1,Sample_series_id,Sample_data_row_count
GSM4467115,other,Homo sapiens,PAIRED,SRA,SRR11519128,SRX8090468,Uninfected ATAC-seq replicate1,GSM4467115,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467115,NONE,GSE148396,0
GSM4467116,other,Homo sapiens,PAIRED,SRA,SRR11519129,SRX8090469,Uninfected ATAC-seq replicate2,GSM4467116,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467116,NONE,GSE148396,0
GSM4467117,other,Homo sapiens,PAIRED,SRA,SRR11519130,SRX8090470,Uninfected ATAC-seq replicate3,GSM4467117,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467117,NONE,GSE148396,0
GSM4467118,other,Homo sapiens,PAIRED,SRA,SRR11519131,SRX8090471,Uninfected ATAC-seq replicate4,GSM4467118,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL16791,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467118,NONE,GSE148396,0
GSM4467119,other,Homo sapiens,PAIRED,SRA,SRR11519132,SRX8090472,Uninfected ATAC-seq replicate5,GSM4467119,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL16791,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467119,NONE,GSE148396,0
GSM4467120,other,Homo sapiens,PAIRED,SRA,SRR11519133,SRX8090473,Uninfected ATAC-seq replicate6,GSM4467120,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: Uninfected,"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL16791,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467120,NONE,GSE148396,0
GSM4467121,other,Homo sapiens,PAIRED,SRA,SRR11519134,SRX8090474,EBNA2+ EBV infected ATAC-seq replicate1,GSM4467121,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: EBNA2+ (B95.8),"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467121,NONE,GSE148396,0
GSM4467122,other,Homo sapiens,PAIRED,SRA,SRR11519135,SRX8090475,EBNA2+ EBV infected ATAC-seq replicate2,GSM4467122,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: EBNA2+ (B95.8),"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467122,NONE,GSE148396,0
GSM4467123,other,Homo sapiens,PAIRED,SRA,SRR11519136,SRX8090476,EBNA2+ EBV infected ATAC-seq replicate3,GSM4467123,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: EBNA2+ (B95.8),"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL11154,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467123,NONE,GSE148396,0
GSM4467124,other,Homo sapiens,PAIRED,SRA,SRR11519137,SRX8090477,EBNA2+ EBV infected ATAC-seq replicate4,GSM4467124,Public on Apr 10 2020,Apr 09 2020,Apr 12 2020,SRA,1,Ramos B cells,Homo sapiens,9606,ebv strain: EBNA2+ (B95.8),"Cells were infected with EBV with EBNA+ strain and EBNA2- strain, respectively.",Cells were cultured in 10% FBS supplemented RPMI medium 1640 for 2 weeks.,genomic DNA,"RNA was depleted of ribosomal RNA and sequenced at Cincinnati Children’s Hospital Medical Center (CCHMC) DNA Sequencing and Genotyping Core Facility. For ChIP-seq, libraries were prepared via ChIPmentation (Schmidl et al. 2015).  ATAC-seq libraries were prepared using the standard protocol (Buenrostro et al. 2015). HiChIP-seq libraries were prepared following Mumbach et al. (Mumbach et al. 2016).",EBNA2_dependent_open_chromatin_filtered.bed,Supplementary_files_format_and_content: mango files (long-range interaction files) were generated using hichipper (version: 0.7.3) (http://aryeelab.org/hichipper),GPL16791,"Ted,,Hong",hongtd@mail.uc.edu,5134299332,Weirauch Lab,CAGE,Cincinnati Children's hospital medical center,"3333 Burnet Ave, CCHMC, The CAGE, MLC 15012 c/o Ted, 200 BL",Cincinnati,OH,45229-3026,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term,GSM4467124,NONE,GSE148396,0
